,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2214753,2014-08-31 21:56,6070,2014-08-31 22:09,6408,759,0
2409557,2014-09-12 08:06,6183,2014-09-12 08:18,6012,703,1
2334695,2014-09-08 07:56,6084,2014-09-08 08:05,6053,559,1
1480789,2014-07-21 20:05,6049,2014-07-21 20:23,6062,1053,1
595291,2014-06-02 17:55,6012,2014-06-02 17:57,6020,149,1
427840,2014-05-23 17:00,6219,2014-05-23 17:03,6179,211,1
2549059,2014-09-22 09:22,6199,2014-09-22 09:33,6215,642,1
553921,2014-05-31 14:48,6230,2014-05-31 15:07,6078,1146,0
1023966,2014-06-27 15:33,6316,2014-06-27 15:38,6926,341,1
1862774,2014-08-11 14:13,6175,2014-08-11 14:23,6014,653,0
2469629,2014-09-16 18:19,6042,2014-09-16 18:33,6116,841,1
2757554,2014-10-06 07:49,6175,2014-10-06 07:52,6147,160,1
38819,2014-04-22 18:45,6152,2014-04-22 18:53,6179,484,1
1003765,2014-06-26 17:18,6214,2014-06-26 17:22,6014,244,1
2978036,2014-10-27 19:33,6181,2014-10-27 19:37,6411,209,1
3061595,2014-11-05 16:55,6250,2014-11-05 17:15,6156,1162,0
7119,2014-04-17 14:15,6362,2014-04-17 14:28,6723,738,1
1955801,2014-08-18 12:42,6252,2014-08-18 13:10,6111,1671,1
974228,2014-06-25 08:38,6248,2014-06-25 08:51,6036,760,1
426263,2014-05-23 16:01,6901,2014-05-23 16:27,6906,1547,1
2748164,2014-10-05 03:09,6368,2014-10-05 03:17,6384,502,1
1199488,2014-07-06 20:32,6175,2014-07-06 20:48,6078,943,0
1367426,2014-07-16 09:54,6003,2014-07-16 10:06,6095,742,1
502242,2014-05-28 18:27,6177,2014-05-28 18:31,6175,269,0
2599850,2014-09-25 12:22,6153,2014-09-25 12:36,6393,842,1
1628321,2014-07-30 11:35,6338,2014-07-30 12:02,6143,1625,1
3008274,2014-10-30 15:50,6405,2014-10-30 16:21,6355,1911,1
2093315,2014-08-25 16:03,6259,2014-08-25 16:19,6116,947,1
1504274,2014-07-22 22:38,6179,2014-07-22 22:44,6009,375,1
3109896,2014-11-11 19:46,6097,2014-11-11 19:59,6079,818,1
